title,dept_name,count
Senior Engineer,Customer Service,90
Technique Leader,Customer Service,9
Senior Staff,Customer Service,1281
Senior Engineer,Development,12561
Senior Staff,Development,102
Technique Leader,Development,2102
Senior Staff,Finance,1360
Senior Staff,Human Resources,1233
Senior Staff,Marketing,1472
Senior Staff,Production,119
Senior Engineer,Production,11093
Technique Leader,Production,1956
Senior Engineer,Quality Management,2615
Technique Leader,Quality Management,421
Senior Engineer,Research,132
Manager,Research,1
Senior Staff,Research,1225
Technique Leader,Research,14
Senior Staff,Sales,3870
